"Gene","lb","log.FC.mle","ub","ce","Z","cZ","pvalue","p.adjust"
"PROCA1",1.63192575874981,3.11549463034054,3.85727906613592,1.63192575874981,4.100649802068,3.01043197562189,4.11991634065974e-05,0.00260876375813525
"AHI1",0.741784435795367,1.70610420232934,2.67042396886332,0.741784435795367,4.10059823239673,3.01043197562189,4.12083462692916e-05,0.00260876375813525
"ZFHX4",0.815962879374904,1.74319342411911,3.22676229570985,0.815962879374904,4.10051048201166,3.01043197562189,4.12239761914449e-05,0.00260876375813525
"RP11-517H2.6",2.07699642022703,2.96713774318147,3.63474373539729,2.07699642022703,4.09917790493565,3.00902219108886,4.14620245614113e-05,0.00262089971775582
"SGOL1",2.89295929960193,3.82018984434613,4.37652817119267,2.89295929960193,4.0979522076191,3.00775228037455,4.16821312449561e-05,0.00263187575189725
"NEK2",0.556338326846525,2.96713774318147,3.63474373539729,0.556338326846525,4.09751990142452,3.00752345952315,4.17600274926883e-05,0.00263385794780722
"ACCS",2.03990719843726,3.48638684823821,4.15399284045404,2.03990719843726,4.09603002932202,3.00607086671164,4.20295436619167e-05,0.00264647311895083
"ACRC",4.00563595329496,4.78450961088012,5.22958027235733,4.00563595329496,4.09589807055716,3.00607086671164,4.20534942451313e-05,0.00264647311895083
"RP11-552D4.1",0.630516770426062,2.89295929960193,3.33802996107916,0.630516770426062,4.09244035739275,3.00186885471987,4.26857055721537e-05,0.00268327746081646
"CYS1",1.55774731517027,2.63333474707355,3.33802996107916,1.55774731517027,4.09194156587786,3.00182378101236,4.27776458175026e-05,0.00268367477301404
"BOLA1",2.55915630349402,3.59765451360754,4.22817128403359,2.55915630349402,4.0918920024127,3.00182378101236,4.27867919070532e-05,0.00268367477301404
"CHRNA2",2.52206708170425,3.37511918286892,3.89436828792567,2.52206708170425,4.09040597890127,3.00029978830016,4.30618753249839e-05,0.0026971400252487
"TRPM3",0.853052101164671,1.70610420232934,2.70751319065309,0.853052101164671,4.09021841698548,3.00029978830016,4.30967146235756e-05,0.0026971400252487
"DUSP15",0.556338326846525,1.85446108948842,2.59624552528378,0.556338326846525,4.08861015023495,2.99852411366847,4.33965469345563e-05,0.00271290687116932
"CTC-454I21.3",2.70751319065309,3.59765451360754,4.15399284045404,2.70751319065309,4.08775453405948,2.99773653161504,4.35568664598272e-05,0.00271992701494123
"MAP4K2",1.74319342411911,2.9300485213917,3.44929762644846,1.74319342411911,4.08685222869715,2.99688729142898,4.37265428431548e-05,0.00272751534532004
"C15orf52",1.96572875485772,3.00422696497124,3.70892217897683,1.96572875485772,4.08525965034447,2.99513097286881,4.40275543828627e-05,0.0027432702146717
"GIMAP4",0.630516770426062,3.44929762644846,3.82018984434613,0.630516770426062,4.08109643468965,2.99033150986255,4.48237515318072e-05,0.00278674823189736
"MFAP3L",3.56056529181775,4.41361739298242,4.93286649803921,3.56056529181775,4.08003508242679,2.98927172233163,4.5028904379481e-05,0.00279643320860203
"MERTK",1.18685509727259,6.49061381320946,6.82441680931738,1.18685509727259,4.07957454386798,2.98900125878483,4.51182004061397e-05,0.0027989097859835
"STARD5",1.92863953306795,2.96713774318147,3.48638684823821,1.92863953306795,4.0773607400951,2.98642591689714,4.55497944549916e-05,0.0028225921863696
"CDK1",2.74460241244285,3.67183295718708,4.26526050582337,2.74460241244285,4.07596519218411,2.9849256335315,4.58238736531327e-05,0.00283647273876081
"ADPGK-AS1",0.593427548636292,2.44788863812471,3.07840540855077,0.593427548636292,4.07415713166601,2.9828824776197,4.61812946422162e-05,0.00285547616369633
