"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000289184.1",3.07764025288474e-27,3.89549116835411,0.586,0.065,5.67886179462292e-23
"PHGDH",4.55858162835537e-17,3.89010965421452,0.69,0.24,8.41149482064133e-13
"AC023538.1",3.9955861584817e-23,3.88798956866129,0.397,0.024,7.37265557963043e-19
"CYP2J2",2.53527897500588e-35,3.88393535898968,0.793,0.104,4.67809676468085e-31
"RFX4",7.33644746435281e-35,3.87556343111047,0.914,0.186,1.35372128612238e-30
"SLC7A11.AS1",1.61716256181739e-11,3.8670967096668,0.259,0.03,2.98398835906545e-07
"RNU6.419P",6.56294202847946e-27,3.86652282670287,0.345,0.003,1.21099406309503e-22
"AL136366.1",3.28524301106547e-22,3.86206715673557,0.586,0.086,6.06193040401801e-18
"FGF2",3.61109710803213e-37,3.85174700179571,0.828,0.101,6.66319638374089e-33
"SSPO",1.63823075627544e-23,3.84414057343669,0.672,0.133,3.02286339147944e-19
"HEPH",6.71545631349077e-36,3.83862393691122,0.845,0.118,1.23913599896532e-31
"SEMA3D",1.2682322920733e-10,3.82809850279087,0.276,0.038,2.34014222533365e-06
"TMEM251P1",2.51875929228505e-29,3.82722458672674,0.638,0.068,4.64761464612437e-25
"AC099754.1",4.54064072602708e-15,3.82329303596496,0.259,0.015,8.37839026766516e-11
"SLC39A12.AS1",1.36113944008805e-17,3.81889025187512,0.328,0.024,2.51157449485046e-13
"FAM234A",0.000468131038557513,3.81788132816948,0.431,0.213,1
"AL157815.1",2.49369342171546e-24,3.81254513833118,0.397,0.018,4.60136310174937e-20
"PIPOX",2.26175980482787e-25,3.80237502757522,0.569,0.062,4.17339919186839e-21
"CHRNB1",7.68222670901118e-08,3.79404985547248,0.328,0.08,0.00141752447234674
"NTSR2",2.29945284373192e-24,3.78609218121333,0.466,0.036,4.24295038725414e-20
"S100A13",3.37722033239992e-38,3.78313122915998,0.81,0.098,6.23164695734434e-34
"SNTA1",3.29444701057826e-34,3.78049699293289,0.862,0.166,6.07891362391901e-30
"LINC01748",1.3395083042571e-34,3.77197643497254,0.707,0.071,2.4716607230152e-30
"EPHX1",1.53328297144983e-27,3.76855387312432,0.621,0.068,2.82921373891922e-23
"ADHFE1",3.19483113923531e-18,3.75812875282377,0.569,0.118,5.89510241811699e-14
"AL137025.1",2.06688226263862e-15,3.7479774696718,0.448,0.08,3.81381115102078e-11
"MT2A",2.35412712714379e-35,3.74497621276256,0.966,0.266,4.34383537500572e-31
"MRO",4.52129511233912e-24,3.74228304307059,0.517,0.053,8.34269374128814e-20
"AC002429.2",2.41886781120936e-32,3.72761526658389,0.914,0.195,4.46329488524351e-28
"ALDOC",2.49378394945389e-32,3.72163855136499,0.983,0.435,4.60153014353232e-28
"BDH2",1.32602520325574e-27,3.71655220756881,0.724,0.121,2.44678170504749e-23
"DNAH12",0.0567152065727804,3.71492190848092,0.328,0.243,1
"AC002451.1",9.70529977655852e-09,3.68954454962604,0.259,0.047,0.000179082191477058
"AC234582.1",1.6316810877385e-20,3.65837565857455,0.328,0.015,3.01077794309508e-16
"FAM198A",3.54450065275283e-11,3.64774080701211,0.466,0.13,6.54031260445953e-07
"RYR3",2.3808656871784e-31,3.64242380565415,1,0.399,4.39317336598159e-27
"AL158064.1",5.83977584717376e-11,3.64207850833427,0.276,0.038,1.0775554393205e-06
"TRIM66",4.21769054035013e-08,3.63791568729013,0.431,0.142,0.000778248258505406
"CTXND1",7.42889659754016e-15,3.63522139884751,0.466,0.092,1.37078000017811e-10
"ALDH4A1",2.55802106698715e-20,3.6348587454926,0.328,0.015,4.7200604728047e-16
"STOX1",7.79995436419755e-32,3.63368940317415,0.776,0.109,1.43924757928173e-27
"SORCS2",3.516868169264e-22,3.63120685928227,0.534,0.074,6.48932514592594e-18
"MT1F",5.33155792640131e-35,3.63102554835711,0.793,0.112,9.83779068579569e-31
"AC110794.1",1.07589837705178e-18,3.6296597530739,0.293,0.012,1.98524768533594e-14
"ZIC5",7.61793328712653e-25,3.62204232587435,0.483,0.038,1.40566105014059e-20
"AC093535.2",3.73461920244093e-33,3.61527839672142,0.81,0.118,6.891119352344e-29
"PON2",3.32795132041765e-32,3.61187451864143,1,0.432,6.14073577643465e-28
"TRIL",2.89964521120145e-34,3.60632697623481,0.759,0.095,5.35042534370892e-30
"PPIAP19",3.35068567854585e-22,3.60557493729487,0.5,0.056,6.1826852140528e-18
"SERPINE2",9.69491447892174e-31,3.59948484843638,0.966,0.314,1.78890561965064e-26
"FAM198B.AS1",1.18860765280171e-32,3.59861788241304,0.603,0.044,2.19321884094971e-28
"COLEC12",5.58987830837583e-11,3.59792585356602,0.328,0.059,1.03144434546151e-06
"AC108866.1",8.46078972383048e-08,3.59515467828604,0.293,0.071,0.0015611849198412
"CCDC190",1.22159003291454e-16,3.59395454901565,0.31,0.024,2.25407792873391e-12
"PRODH",5.54935768055563e-24,3.57264578454866,0.397,0.021,1.02396747921612e-19
"CYP4F11",7.42976150789403e-26,3.57066122939402,0.431,0.024,1.37093959343661e-21
"P2RY1",5.20342248614986e-28,3.55158416902083,0.603,0.065,9.60135517144371e-24
"IQCH.AS1",6.6665877467087e-15,3.54801257285125,0.5,0.109,1.23011877102269e-10
"GPAM",2.48065206371181e-33,3.54245460326744,0.931,0.234,4.57729918796103e-29
"SMTN",6.66758152555578e-09,3.53186016970216,0.31,0.068,0.000123030214309555
"GABRA2",1.38628948905605e-30,3.51946772355619,1,0.45,2.55798136520622e-26
"PDCL3P5",1.54678978966059e-12,3.51722504726518,0.448,0.095,2.85413651988172e-08
"TTLL4",7.48008428862159e-14,3.51522823022889,0.603,0.189,1.38022515293646e-09
"GLUD1",7.06679110982411e-29,3.50864229996492,1,0.66,1.30396429558474e-24
"LINC01220",1.69494385936724e-06,3.50535872458118,0.621,0.32,0.0312751040930444
"GRAMD2B",6.95177327720192e-33,3.50189190005302,0.966,0.246,1.2827412051093e-28
"CPE",5.15281236226102e-29,3.49864035963146,1,0.843,9.50796937084403e-25
"ID4",2.29100817441882e-35,3.48888427240038,0.931,0.201,4.22736828343761e-31
"ASPH",3.48522177777301e-27,3.48282779056641,1,0.485,6.43093122434676e-23
"ENSG00000287277.1",2.74641080531662e-10,3.48122514953042,0.414,0.118,5.06767721797023e-06
"CD109",4.56715522333297e-15,3.47538007242864,0.414,0.065,8.42731481809399e-11
