"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","genes"
"205","2.63861246409859e-28","2.67653341904572","0.986","0.506","1.6250422582644e-23","ADGRG1"
"206","2.69699685802609e-28","2.85275949263659","0.863","0.249","1.66099945495253e-23","ADGRA3"
"207","5.29085945489686e-28","2.70034958732243","0.959","0.504","3.25848161248733e-23","ITM2C"
"208","5.80802311008761e-28","2.42205065626235","0.918","0.303","3.57698719280966e-23","PMP2"
"209","7.63932856116848e-28","3.35498506558608","0.753","0.181","4.70483328096683e-23","CTSH"
"210","1.43458725572524e-27","3.10167792903373","0.767","0.163","8.83519253183506e-23","SLC6A11"
"211","1.53352380685888e-27","2.09849527383553","0.521","0.053","9.4445130693018e-23","RPL21P32"
"212","1.55839918152274e-27","2.29959348578445","0.658","0.112","9.5977130392441e-23","CLYBL"
"213","2.6823263691569e-27","3.84361085711752","0.603","0.092","1.65196434097266e-22","TMEM251P1"
"214","2.73302852599827e-27","3.14124038203768","0.685","0.13","1.68319027830655e-22","CYBRD1"
"215","3.02619564151897e-27","3.64102760790853","0.795","0.196","1.86374310974229e-22","CACHD1"
"216","3.44394548249996e-27","2.02518624677601","0.932","0.372","2.12102270430725e-22","TIMP3"
"217","3.61571559633258e-27","4.21916263471927","0.562","0.081","2.22681076431335e-22","AL137145.2"
"218","3.87894669194608e-27","2.76505010801258","0.959","0.41","2.38892689916883e-22","GRM3"
"219","4.52786500643641e-27","4.75877165372843","0.425","0.031","2.78857622151399e-22","LFNG"
"220","5.72530030148508e-27","2.65681411388688","0.863","0.293","3.52604069667562e-22","CSRP1"
"221","6.49984792760277e-27","2.6387148551311","0.945","0.407","4.00306134317272e-22","SASH1"
"222","7.21297830808962e-27","2.85859040120322","0.589","0.092","4.44225695060315e-22","SYTL4"
"223","7.54143016161108e-27","4.10220809275542","0.37","0.018","4.64454059363142e-22","PRODH"
"224","2.30886467864061e-26","1.58465917509197","0.795","0.211","1.42196048963439e-21","NBPF17P"
"225","2.31705418260963e-26","2.33564664228228","0.712","0.14","1.42700415944379e-21","AC099792.1"
"226","2.37178713012109e-26","2.79206926631824","0.945","0.494","1.46071253982768e-21","LIFR"
"227","2.45590758242927e-26","2.05388004172079","0.89","0.277","1.51251980279072e-21","ZFP36L1"
"228","2.47011547295323e-26","2.66805548195997","0.781","0.209","1.52127001632771e-21","CPT1A"
"229","2.75655642821959e-26","3.58603273265339","0.356","0.015","1.6976804074476e-21","AL356737.1"
"230","2.7713471577084e-26","2.71998557245377","0.959","0.483","1.70678957401787e-21","NCAN"
"231","3.62021323489688e-26","2.40709709197798","0.849","0.252","2.22958072497594e-21","TMEM47"
"232","4.13850706801032e-26","4.44680063820584","0.411","0.031","2.54878234797551e-21","LINC00982"
"233","6.41402261934111e-26","2.34661433755762","0.986","0.534","3.95020411057361e-21","AASS"
