"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","genes"
2.93339268355343e-07,-2.19462499026057,0.325,0.552,0.0180658855202005,"FAM126A"
2.95450129634917e-07,1.5618213097839,0.138,0.02,0.0181958871338256,"RTBDN"
2.963233581665e-07,0.786929787698416,0.338,0.141,0.0182496666594002,"HYOU1"
2.97560372867228e-07,0.932726961548102,0.338,0.131,0.018325850683774,"DDRGK1"
2.97966388836322e-07,1.50154996075271,0.344,0.147,0.0183508559892626,"PDCD6IPP2"
2.98261215860303e-07,0.558463738771035,0.644,0.386,0.0183690135011885,"TMEM230"
2.99216741626609e-07,1.69158913450885,0.256,0.082,0.018427861466558,"ARFIP2"
3.02597083836342e-07,1.16694466558065,0.212,0.056,0.0186360466022288,"EFCAB10"
3.03724851950113e-07,0.371502701464224,0.844,0.627,0.0187055024570516,"TM9SF2"
3.04910414893651e-07,1.26836211265095,0.231,0.065,0.0187785177220553,"CCDC148"
3.05372670703624e-07,2.8680106109666,0.181,0.039,0.0188069866706241,"RSAD2"
3.05826210413196e-07,0.840073628414496,0.35,0.141,0.0188349188207175,"PARVB"
3.06012495166061e-07,0.462725188905946,0.369,0.157,0.0188463915397922,"ARMCX2"
3.06137151003552e-07,1.53790603572771,0.269,0.098,0.0188540687188558,"AC008105.3"
3.06189138010333e-07,0.471846716520545,0.781,0.516,0.0188572704426424,"SNRPA1"
3.06389537955178e-07,0.356107900873318,0.781,0.549,0.0188696124740455,"FAM172A"
3.07055316566117e-07,1.32571277468155,0.431,0.222,0.0189106157813575,"PEX26"
3.07500416191507e-07,2.15803871872245,0.169,0.033,0.0189380281319863,"AL355472.4"
3.08011863182378e-07,1.33077420990101,0.112,0.01,0.0189695266178131,"AC140125.2"
3.08350159650954e-07,1.07992867621703,0.162,0.029,0.0189903612824233,"AL049749.1"
3.09012347080409e-07,0.644317428004974,0.481,0.232,0.0190311434196412,"NULL"
3.09539600129023e-07,0.405183613086137,0.575,0.32,0.0190636153531461,"RANBP6"
3.09641388435246e-07,2.30923725234667,0.144,0.023,0.0190698841895615,"AC007368.1"
3.11970024521947e-07,0.488243543233317,0.131,0.016,0.0192132979002332,"LINC01106"
3.12384156785774e-07,0.877491553148824,0.406,0.19,0.0192388030639654,"KAT8"
3.12555558070803e-07,2.25630846792541,0.275,0.098,0.0192493591549065,"PNKP"
3.14662292769631e-07,1.31446484843697,0.112,0.01,0.0193791066248033,"SOHLH1"
3.15080539596484e-07,0.730635772096934,0.512,0.281,0.0194048651921287,"ATP1A1-AS1"
3.15103292064304e-07,4.00120947638438,0.156,0.029,0.0194062664483643,"AP000229.1"
3.17796126247549e-07,2.35207549755897,0.156,0.029,0.0195721100272078,"ANKRD34C-AS1"
3.19681864566106e-07,0.690683638397732,0.175,0.036,0.0196882469930328,"KCNA3"
3.19808041526215e-07,1.56591241425446,0.3,0.111,0.019696017853475,"GMPR2"
3.22519891407179e-07,1.89576899963148,0.356,0.157,0.0198630325520939,"NULL"
3.22792599322367e-07,0.930192548494917,0.369,0.163,0.0198798278144666,"SLC27A5"
3.24987981565733e-07,0.312985640291546,0.919,0.703,0.0200150348206888,"MAGED1"
3.27645112293707e-07,1.91669386003008,0.238,0.069,0.0201786795308325,"NULL"
3.28381525676012e-07,2.36478766625078,0.112,0.01,0.0202240330218086,"NULL"
3.28670492097769e-07,0.379311816623491,0.844,0.578,0.0202418295968253,"ATP2C1"
3.30636717565275e-07,2.22312534492282,0.394,0.183,0.0203629235246926,"NPTX1"
3.319079762879e-07,0.414617504575945,0.488,0.268,0.0204412165356429,"PAF1"
3.32250474964575e-07,0.269978816095137,0.762,0.487,0.0204623100016433,"STIP1"
3.35820802493977e-07,0.918172476905704,0.994,0.941,0.0206821957631966,"MT-ND6"
3.36192634088363e-07,0.473175809647772,0.863,0.69,0.0207050957556,"PCNP"
3.36739821536986e-07,0.555391348625601,0.556,0.291,0.0207387953889984,"CCDC181"
3.3748747805528e-07,2.24571944091188,0.2,0.052,0.0207848413109906,"AL080317.3"
3.3809456723874e-07,0.742830209855067,0.275,0.092,0.0208222301125323,"BX664727.3"
3.40608019865721e-07,0.557294486156589,0.938,0.794,0.0209770261194702,"OGT"
3.4155683021501e-07,1.06468147388183,0.394,0.19,0.0210354605024518,"FAM98C"
3.44566252455283e-07,1.69078453134799,0.225,0.065,0.0212208017899635,"B3GALNT1P1"
3.45776645754737e-07,1.28536072513126,0.419,0.216,0.021295346282097,"ANKRD13D"
3.49681490510657e-07,2.49606391935845,0.162,0.033,0.0215358339560798,"DDN"
3.54472035606809e-07,0.999321548742285,0.338,0.131,0.0218308692569166,"APBB3"
3.55969856469975e-07,0.670714875103506,0.881,0.686,0.0219231155504164,"ATP5PO"
3.59357279886999e-07,0.605431930783438,0.462,0.219,0.0221317367964006,"ZNF415"
3.60938115237262e-07,1.24491277231319,0.519,0.278,0.0222290957031172,"ACTR3B"
3.61475823289469e-07,0.32543630688518,0.575,0.317,0.0222622115289285,"CTAGE5"
3.64106150393336e-07,0.337812874136039,0.681,0.428,0.0224242054842744,"TMEM231"
3.64595296737836e-07,0.795141922698425,0.55,0.33,0.0224543305401931,"FGF13"
3.64784001790672e-07,1.70749900478039,0.269,0.095,0.0224659523182821,"AC090568.2"
3.64968128335395e-07,0.806609369330168,0.331,0.131,0.022477292119792,"ACOT8"
3.67120536448924e-07,0.319258020902523,0.156,0.029,0.0226098524782799,"AC004678.2"
3.67383374725962e-07,2.28781962063883,0.144,0.023,0.0226260398992478,"NULL"
3.68014105458944e-07,0.447599944780127,0.381,0.163,0.0226648847129,"NIT1"
3.69348481475443e-07,1.70324276180041,0.138,0.02,0.0227470649286281,"AC127024.6"
3.69752490258116e-07,1.48941595956239,0.4,0.186,0.0227719466175266,"UMAD1"
3.72255781105541e-07,0.64628208458263,0.644,0.402,0.022926116790947,"TLN2"
3.74391931002361e-07,-0.444699494217566,0.769,0.497,0.0230576758546424,"FOXJ3"
3.75383922716065e-07,1.12310257945473,0.25,0.082,0.0231187696483143,"PMS2P5"
3.76559642257206e-07,3.22216482616051,0.156,0.029,0.0231911786876946,"NULL"
3.77367551627551e-07,0.611721028941095,0.262,0.085,0.023240935402086,"MTMR9"
3.77386669877757e-07,0.320582878123212,0.506,0.261,0.0232421128377614,"PDHX"
